,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.147585,0.158846,0.153304,0.143,0.123964
Normalized EBITDA,51283000000.0,38748000000.0,31937000000.0,22584000000.0,25821000000.0
Net Income From Continuing Operation Net Minority Interest,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Reconciled Depreciation,812000000.0,751000000.0,669000000.0,611000000.0,543000000.0
Reconciled Cost Of Revenue,17034000000.0,15157000000.0,12890000000.0,17394000000.0,10608000000.0
EBITDA,51283000000.0,38748000000.0,31937000000.0,22584000000.0,25821000000.0
EBIT,50471000000.0,37997000000.0,31268000000.0,21973000000.0,25278000000.0
Net Interest Income,495000000.0,563000000.0,530000000.0,452000000.0,450000000.0
Interest Expense,73000000.0,61000000.0,62000000.0,63000000.0,61000000.0
Interest Income,568000000.0,624000000.0,592000000.0,515000000.0,511000000.0
Normalized Income,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Net Income From Continuing And Discontinued Operation,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Total Expenses,23828000000.0,20996000000.0,18303000000.0,22424000000.0,15297000000.0
Total Operating Income As Reported,44299000000.0,36010000000.0,28440000000.0,21638000000.0,24034000000.0
Diluted Average Shares,24432000000.0,24483000000.0,24532000000.0,24611000000.0,24706000000.0
Basic Average Shares,24304000000.0,24327000000.0,24366000000.0,24441000000.0,24489000000.0
Diluted EPS,1.76,1.3,1.08,0.76,0.89
Basic EPS,1.77,1.31,1.08,0.77,0.9
Diluted NI Availto Com Stockholders,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Net Income Common Stockholders,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Net Income,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Net Income Including Noncontrolling Interests,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Net Income Continuous Operations,42960000000.0,31910000000.0,26422000000.0,18775000000.0,22091000000.0
Tax Provision,7438000000.0,6026000000.0,4784000000.0,3135000000.0,3126000000.0
Pretax Income,50398000000.0,37936000000.0,31206000000.0,21910000000.0,25217000000.0
Other Income Expense,5604000000.0,1363000000.0,2236000000.0,-180000000.0,733000000.0
Other Non Operating Income Expenses,5604000000.0,1363000000.0,2236000000.0,-180000000.0,733000000.0
Net Non Operating Interest Income Expense,495000000.0,563000000.0,530000000.0,452000000.0,450000000.0
Interest Expense Non Operating,73000000.0,61000000.0,62000000.0,63000000.0,61000000.0
Interest Income Non Operating,568000000.0,624000000.0,592000000.0,515000000.0,511000000.0
Operating Income,44299000000.0,36010000000.0,28440000000.0,21638000000.0,24034000000.0
Operating Expense,6794000000.0,5839000000.0,5413000000.0,5030000000.0,4689000000.0
Research And Development,5512000000.0,4705000000.0,4291000000.0,3989000000.0,3714000000.0
Selling General And Administration,1282000000.0,1134000000.0,1122000000.0,1041000000.0,975000000.0
Gross Profit,51093000000.0,41849000000.0,33853000000.0,26668000000.0,28723000000.0
Cost Of Revenue,17034000000.0,15157000000.0,12890000000.0,17394000000.0,10608000000.0
Total Revenue,68127000000.0,57006000000.0,46743000000.0,44062000000.0,39331000000.0
Operating Revenue,68127000000.0,57006000000.0,46743000000.0,44062000000.0,39331000000.0
